serial_number,hsc_code,country_origin,make,model,year,engine_cc,description,cif_usd,database_month
1,8709.19.00,TH,A35,Folklift,2020,2500,"A35 Folklift, Model 4D27G, 2020",9403.59,"October 2025"
2,8709.19.00,TH,A35,Folklift,2020,1760,"A35 Folklift, Model 4D27G, 2020",8463.23,"October 2025"
3,8709.19.00,TH,A35,Folklift,2021,2500,"A35 Folklift, Model 4D27G, 2021",10221.29,"October 2025"
4,8709.19.00,TH,A35,Folklift,2021,1760,"A35 Folklift, Model 4D27G, 2021",9199.16,"October 2025"
5,8716.39.90,ZA,"Absolute Ablutions",Axle,2023,,"Absolute Ablutions 1 Axle trailer, Model KF20A, 2023",3512.62,"October 2025"
6,8702.10.99,IN,Unknown,Unknown,2025,,"Ace Mobile Tower Crane, Model MTC 3625 (2.5 Ton), 2025",45784.23,"October 2025"
7,8703.24.90,JP,Acura,MDX,2009,3700,"Acura MDX, 2009",9116.29,"October 2025"
8,8703.24.90,JP,Acura,MDX,2010,3700,"Acura MDX, 2010",9847.28,"October 2025"
9,8703.24.90,JP,Acura,MDX,2011,3700,"Acura MDX, 2011",11119.78,"October 2025"
10,8703.24.90,JP,Acura,MDX,2012,3700,"Acura MDX, 2012",12231.76,"October 2025"
11,8716.39.90,DE,Acura,Venter,1999,,"Acura Venter Mini Trailer Model: ABV11, Single Axle, 1999",1505.35,"October 2025"
12,8703.23.90,IT,"Alfa Romeo",Sportwagon,2010,2000,"Alfa Romeo Sportwagon 156, GF932A, 2010",7509.08,"October 2025"
13,8701.20.90,US,"AM General",M931,1990,240,"AM General M931 Tractor Head 6x6 Traction, 1990 and below",6978.35,"October 2025"
14,8701.20.90,US,"AM General",M931,1991,240,"AM General M931 Tractor Head 6x6 Traction, 1991",7021.36,"October 2025"
15,8701.20.90,US,"AM General",M931,1992,240,"AM General M931 Tractor Head 6x6 Traction, 1992",7215.62,"October 2025"
16,8701.20.90,US,"AM General",M931,1993,240,"AM General M931 Tractor Head 6x6 Traction, 1993",7451.85,"October 2025"
17,8701.20.90,US,"AM General",M931,1994,240,"AM General M931 Tractor Head 6x6 Traction, 1994",8012.63,"October 2025"
18,8701.20.90,US,"AM General",M931,1995,240,"AM General M931 Tractor Head 6x6 Traction, 1995",8387.01,"October 2025"
19,8701.20.90,US,"AM General",M931,1996,240,"AM General M931 Tractor Head 6x6 Traction, 1996",8430.59,"October 2025"
20,8701.20.90,US,"AM General",M931,1997,240,"AM General M931 Tractor Head 6x6 Traction, 1997",8474.17,"October 2025"
21,8701.20.90,US,"AM General",M931,1998,240,"AM General M931 Tractor Head 6x6 Traction, 1998",8517.75,"October 2025"
22,8701.20.90,US,"AM General",M931,1999,240,"AM General M931 Tractor Head 6x6 Traction, 1999",8561.33,"October 2025"
23,8701.20.90,US,"AM General",M931,2000,240,"AM General M931 Tractor Head 6x6 Traction, 2000",8604.91,"October 2025"
24,8701.20.90,US,"AM General",M931,2001,240,"AM General M931 Tractor Head 6x6 Traction, 2001",8648.49,"October 2025"
25,8701.20.90,US,"AM General",M931,2002,240,"AM General M931 Tractor Head 6x6 Traction, 2002",8692.08,"October 2025"
26,8701.20.90,US,"AM General",M931,2003,240,"AM General M931 Tractor Head 6x6 Traction, 2003",8735.66,"October 2025"
27,8701.20.90,US,Unknown,Unknown,1990,8000,"AMG M931, Tractor Unit, 4x2 Traction, 1990 and below",8866.4,"October 2025"
28,8701.20.90,US,Unknown,Unknown,1991,8000,"AMG M931, Tractor Unit, 4x2 Traction, 1991",8909.98,"October 2025"
29,8704.22.90,IN,Unknown,Unknown,2009,5759,"Ashok Leyland 2516 truck (13 Ton), 2009",12204.98,"October 2025"
30,8704.22.90,IN,Unknown,Unknown,2010,5759,"Ashok Leyland 2516 truck (13 Ton), 2010",13669.58,"October 2025"
31,8704.22.90,IN,Unknown,Unknown,2011,5759,"Ashok Leyland 2516 truck (13 Ton), 2011",15720.01,"October 2025"
32,8704.22.90,IN,Unknown,Unknown,2012,5759,"Ashok Leyland 2516 truck (13 Ton), 2012",18392.41,"October 2025"
33,8704.22.90,IN,Unknown,Unknown,2013,5759,"Ashok Leyland 2516 truck (13 Ton), 2013",21886.97,"October 2025"
34,8704.22.90,IN,Unknown,Unknown,2001,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2001",6382.14,"October 2025"
35,8704.22.90,IN,Unknown,Unknown,2002,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2002",6644.98,"October 2025"
36,8704.22.90,IN,Unknown,Unknown,2003,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2003",7108.87,"October 2025"
37,8704.22.90,IN,Unknown,Unknown,2004,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2004",7876.38,"October 2025"
38,8704.22.90,IN,Unknown,Unknown,2005,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2005",9582.51,"October 2025"
39,8704.22.90,IN,Unknown,Unknown,2006,6014,"Ashok Leyland truck (9 Ton), Model PNA, 2006",10756.08,"October 2025"
40,8704.22.90,IN,Unknown,Unknown,2006,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2006",10975.59,"October 2025"
41,8704.22.90,IN,Unknown,Unknown,2007,6014,"Ashok Leyland truck (9 Ton), Model PNA, 2007",12369.5,"October 2025"
42,8704.22.90,IN,Unknown,Unknown,2007,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2007",12621.93,"October 2025"
43,8704.22.90,IN,Unknown,Unknown,2008,6014,"Ashok Leyland truck (9 Ton), Model PNA, 2008",14224.92,"October 2025"
44,8704.22.90,IN,Unknown,Unknown,2008,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2008",14515.22,"October 2025"
45,8704.22.90,IN,Unknown,Unknown,2009,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2009",16358.66,"October 2025"
46,8704.22.90,IN,Unknown,Unknown,2010,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2010",19196.38,"October 2025"
47,8704.22.90,IN,Unknown,Unknown,2011,6022,"Ashok Leyland truck (9 Ton), Model PNA, 2011",22075.84,"October 2025"
